# File: FoodProcessing_energy_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse energy by IAA region
# Units: EJ
# Description: Regional FoodProcessing energy consumption
# Source: World FoodProcessing Association
# Column types: ciccnc
# ----------
flow,year,IAA_region,fuel,value,unit
FoodProcessing,2010,Oceania,electricity,0.0833364,EJ
FoodProcessing,2011,Oceania,electricity,0.1246572,EJ
FoodProcessing,2012,Oceania,electricity,0.113616,EJ
FoodProcessing,2013,Oceania,electricity,0.08262,EJ
FoodProcessing,2014,Oceania,electricity,0.1083024,EJ
FoodProcessing,2015,Oceania,electricity,0.1046808,EJ
FoodProcessing,1980,South America,electricity,0.0512604,EJ
FoodProcessing,1981,South America,electricity,0.0496908,EJ
FoodProcessing,1982,South America,electricity,0.0489924,EJ
FoodProcessing,1983,South America,electricity,0.0576072,EJ
FoodProcessing,1984,South America,electricity,0.0615528,EJ
FoodProcessing,1985,South America,electricity,0.0675216,EJ
FoodProcessing,1986,South America,electricity,0.0790632,EJ
FoodProcessing,1987,South America,electricity,0.0855072,EJ
FoodProcessing,1988,South America,electricity,0.0897624,EJ
FoodProcessing,1989,South America,electricity,0.0969696,EJ
FoodProcessing,1990,South America,electricity,0.1034676,EJ
FoodProcessing,1991,South America,electricity,0.11457,EJ
FoodProcessing,1992,South America,electricity,0.110484,EJ
FoodProcessing,1993,South America,electricity,0.1085796,EJ
FoodProcessing,1994,South America,electricity,0.1111824,EJ
FoodProcessing,1995,South America,electricity,0.1155456,EJ
FoodProcessing,1996,South America,electricity,0.1187964,EJ
FoodProcessing,1997,South America,electricity,0.11898,EJ
FoodProcessing,1998,South America,electricity,0.1189764,EJ
FoodProcessing,1999,South America,electricity,0.1105308,EJ
FoodProcessing,2000,South America,electricity,0.1196172,EJ
FoodProcessing,2001,South America,electricity,0.12078,EJ
FoodProcessing,2002,South America,electricity,0.12078,EJ
FoodProcessing,2003,South America,electricity,0.1248084,EJ
FoodProcessing,2004,South America,electricity,0.1322316,EJ
FoodProcessing,2005,South America,electricity,0.1245852,EJ
FoodProcessing,2006,South America,electricity,0.1363356,EJ
FoodProcessing,2007,South America,electricity,0.1409904,EJ
FoodProcessing,2008,South America,electricity,0.1493856,EJ
FoodProcessing,2009,South America,electricity,0.1053324,EJ
FoodProcessing,2010,South America,electricity,0.1250496,EJ
FoodProcessing,2011,South America,electricity,0.1224936,EJ
FoodProcessing,2012,South America,electricity,0.1145016,EJ
FoodProcessing,2013,South America,electricity,0.0986076,EJ
FoodProcessing,2014,South America,electricity,0.0758844,EJ
FoodProcessing,2015,South America,electricity,0.0737604,EJ
FoodProcessing,2015,Africa & Asia (ex China),coal,0.054114,EJ
FoodProcessing,2015,Africa & Asia (ex China),refined liquids,0.013314,EJ
FoodProcessing,2015,Africa & Asia (ex China),gas,0.00051,EJ
FoodProcessing,2015,Africa & Asia (ex China),electricity,0.000106,EJ
FoodProcessing,2015,Africa & Asia (ex China),biomass,0.003609,EJ
FoodProcessing,2014,Africa & Asia (ex China),coal,0.032045,EJ
FoodProcessing,2014,Africa & Asia (ex China),refined liquids,0.007514,EJ
FoodProcessing,2014,Africa & Asia (ex China),gas,0.000361,EJ
FoodProcessing,2014,Africa & Asia (ex China),electricity,0.000075,EJ
FoodProcessing,2014,Africa & Asia (ex China),biomass,0.002988,EJ
FoodProcessing,2013,Africa & Asia (ex China),coal,0.0317,EJ
FoodProcessing,2013,Africa & Asia (ex China),refined liquids,0.007374,EJ
FoodProcessing,2013,Africa & Asia (ex China),gas,0.000387,EJ
FoodProcessing,2013,Africa & Asia (ex China),electricity,0.000155,EJ
FoodProcessing,2013,Africa & Asia (ex China),biomass,0.003315,EJ
FoodProcessing,2011,Africa & Asia (ex China),coal,0.029083,EJ
FoodProcessing,2011,Africa & Asia (ex China),refined liquids,0.009909,EJ
FoodProcessing,2011,Africa & Asia (ex China),gas,0.00059,EJ
FoodProcessing,2011,Africa & Asia (ex China),electricity,0.001175,EJ
FoodProcessing,2011,Africa & Asia (ex China),biomass,0.003563,EJ
FoodProcessing,2010,Africa & Asia (ex China),coal,0.012251,EJ
FoodProcessing,2010,Africa & Asia (ex China),refined liquids,0.01157,EJ
FoodProcessing,2010,Africa & Asia (ex China),gas,0.000589,EJ
FoodProcessing,2010,Africa & Asia (ex China),electricity,0.000404,EJ
FoodProcessing,2010,Africa & Asia (ex China),biomass,0.004224,EJ
FoodProcessing,2009,Africa & Asia (ex China),coal,0.026274,EJ
FoodProcessing,2009,Africa & Asia (ex China),refined liquids,0.017844,EJ
FoodProcessing,2009,Africa & Asia (ex China),gas,0.000044,EJ
FoodProcessing,2009,Africa & Asia (ex China),electricity,0.001251,EJ
FoodProcessing,2009,Africa & Asia (ex China),biomass,0.001965,EJ
FoodProcessing,2008,Africa & Asia (ex China),coal,0.03282,EJ
FoodProcessing,2008,Africa & Asia (ex China),refined liquids,0.017598,EJ
FoodProcessing,2008,Africa & Asia (ex China),gas,0.000052,EJ
FoodProcessing,2008,Africa & Asia (ex China),electricity,0.000924,EJ
FoodProcessing,2008,Africa & Asia (ex China),biomass,0.00308,EJ
FoodProcessing,2007,Africa & Asia (ex China),coal,0.00781,EJ
FoodProcessing,2007,Africa & Asia (ex China),refined liquids,0.011771,EJ
FoodProcessing,2007,Africa & Asia (ex China),gas,0.00084,EJ
FoodProcessing,2007,Africa & Asia (ex China),electricity,0.000599,EJ
FoodProcessing,2007,Africa & Asia (ex China),biomass,0.002905,EJ
FoodProcessing,2006,Africa & Asia (ex China),coal,0.027188,EJ
FoodProcessing,2006,Africa & Asia (ex China),refined liquids,0.017817,EJ
FoodProcessing,2006,Africa & Asia (ex China),gas,0.000021,EJ
FoodProcessing,2006,Africa & Asia (ex China),electricity,0.002298,EJ
FoodProcessing,2006,Africa & Asia (ex China),biomass,0.002516,EJ
FoodProcessing,2005,Africa & Asia (ex China),coal,0.026767,EJ
FoodProcessing,2005,Africa & Asia (ex China),refined liquids,0.014868,EJ
FoodProcessing,2005,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,2005,Africa & Asia (ex China),electricity,0.002208,EJ
FoodProcessing,2005,Africa & Asia (ex China),biomass,0.000703,EJ
FoodProcessing,2004,Africa & Asia (ex China),coal,0.028802,EJ
FoodProcessing,2004,Africa & Asia (ex China),refined liquids,0.013014,EJ
FoodProcessing,2004,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,2004,Africa & Asia (ex China),electricity,0.000762,EJ
FoodProcessing,2004,Africa & Asia (ex China),biomass,0,EJ
FoodProcessing,2003,Africa & Asia (ex China),coal,0.010366,EJ
FoodProcessing,2003,Africa & Asia (ex China),refined liquids,0.012521,EJ
FoodProcessing,2003,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,2003,Africa & Asia (ex China),electricity,0.000754,EJ
FoodProcessing,2003,Africa & Asia (ex China),biomass,0,EJ
FoodProcessing,2001,Africa & Asia (ex China),coal,0.021541,EJ
FoodProcessing,2001,Africa & Asia (ex China),refined liquids,0.015294,EJ
FoodProcessing,2001,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,2001,Africa & Asia (ex China),electricity,0.00072,EJ
