# File: FoodProcessing_prod_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse production by IAA region
# Units: Thousand tons
# Description: Regional FoodProcessing production
# Source: World FoodProcessing Association
# Column types: cicnc
# ----------
flow,year,IAA_region,value,unit
FoodProcessing,2004,North America,5110,Thousand metric tons
FoodProcessing,2004,Oceania,2246,Thousand metric tons
FoodProcessing,2004,South America,2356,Thousand metric tons
FoodProcessing,2004,West Europe,4295,Thousand metric tons
FoodProcessing,2005,Africa,1753,Thousand metric tons
FoodProcessing,2005,Asia (ex China),3139,Thousand metric tons
FoodProcessing,2005,China (Estimated),7806,Thousand metric tons
FoodProcessing,2005,East & Central Europe,4194,Thousand metric tons
FoodProcessing,2005,GCC,0,Thousand metric tons
FoodProcessing,2005,North America,5382,Thousand metric tons
FoodProcessing,2005,Oceania,2252,Thousand metric tons
FoodProcessing,2005,South America,2391,Thousand metric tons
FoodProcessing,2005,West Europe,4352,Thousand metric tons
FoodProcessing,2006,Africa,1864,Thousand metric tons
FoodProcessing,2006,Asia (ex China),3493,Thousand metric tons
FoodProcessing,2006,China (Estimated),9349,Thousand metric tons
FoodProcessing,2006,East & Central Europe,4230,Thousand metric tons
FoodProcessing,2006,GCC,0,Thousand metric tons
FoodProcessing,2006,North America,5333,Thousand metric tons
FoodProcessing,2006,Oceania,2274,Thousand metric tons
FoodProcessing,2006,South America,2493,Thousand metric tons
FoodProcessing,2006,West Europe,4182,Thousand metric tons
FoodProcessing,2007,Africa,1815,Thousand metric tons
FoodProcessing,2007,Asia (ex China),3717,Thousand metric tons
FoodProcessing,2007,China (Estimated),12588,Thousand metric tons
FoodProcessing,2007,East & Central Europe,4460,Thousand metric tons
FoodProcessing,2007,GCC,0,Thousand metric tons
FoodProcessing,2007,North America,5642,Thousand metric tons
FoodProcessing,2007,Oceania,2315,Thousand metric tons
FoodProcessing,2007,South America,2558,Thousand metric tons
FoodProcessing,2007,West Europe,4305,Thousand metric tons
FoodProcessing,2008,Africa,1715,Thousand metric tons
FoodProcessing,2008,Asia (ex China),3923,Thousand metric tons
FoodProcessing,2008,China (Estimated),13585,Thousand metric tons
FoodProcessing,2008,East & Central Europe,4658,Thousand metric tons
FoodProcessing,2008,GCC,0,Thousand metric tons
FoodProcessing,2008,North America,5783,Thousand metric tons
FoodProcessing,2008,Oceania,2297,Thousand metric tons
FoodProcessing,2008,South America,2660,Thousand metric tons
FoodProcessing,2008,West Europe,4618,Thousand metric tons
FoodProcessing,2009,Africa,1681,Thousand metric tons
FoodProcessing,2009,Asia (ex China),4400,Thousand metric tons
FoodProcessing,2009,China (Estimated),13684,Thousand metric tons
FoodProcessing,2009,East & Central Europe,4117,Thousand metric tons
FoodProcessing,2009,GCC,0,Thousand metric tons
FoodProcessing,2009,North America,4759,Thousand metric tons
FoodProcessing,2009,Oceania,2211,Thousand metric tons
FoodProcessing,2009,South America,2508,Thousand metric tons
FoodProcessing,2009,West Europe,3722,Thousand metric tons
FoodProcessing,2010,Africa,1742,Thousand metric tons
FoodProcessing,2010,Asia (ex China),2500,Thousand metric tons
FoodProcessing,2010,China (Estimated),17331,Thousand metric tons
FoodProcessing,2010,East & Central Europe,4253,Thousand metric tons
FoodProcessing,2010,GCC,2724,Thousand metric tons
FoodProcessing,2010,North America,4689,Thousand metric tons
FoodProcessing,2010,Oceania,2277,Thousand metric tons
FoodProcessing,2010,South America,2305,Thousand metric tons
FoodProcessing,2010,West Europe,3800,Thousand metric tons
FoodProcessing,2011,Africa,1805,Thousand metric tons
FoodProcessing,2011,Asia (ex China),2533,Thousand metric tons
FoodProcessing,2011,China (Estimated),20072,Thousand metric tons
FoodProcessing,2011,East & Central Europe,4319,Thousand metric tons
FoodProcessing,2011,GCC,3483,Thousand metric tons
FoodProcessing,2011,North America,4969,Thousand metric tons
FoodProcessing,2011,Oceania,2306,Thousand metric tons
FoodProcessing,2011,South America,2185,Thousand metric tons
FoodProcessing,2011,West Europe,4027,Thousand metric tons
FoodProcessing,2012,Africa,1639,Thousand metric tons
FoodProcessing,2012,Asia (ex China),2535,Thousand metric tons
FoodProcessing,2012,China (Estimated),23534,Thousand metric tons
FoodProcessing,2012,East & Central Europe,4323,Thousand metric tons
FoodProcessing,2012,GCC,3662,Thousand metric tons
FoodProcessing,2012,North America,4851,Thousand metric tons
FoodProcessing,2012,Oceania,2186,Thousand metric tons
FoodProcessing,2012,South America,2052,Thousand metric tons
FoodProcessing,2012,West Europe,3605,Thousand metric tons
FoodProcessing,2013,Africa,1812,Thousand metric tons
FoodProcessing,2013,Asia (ex China),2439,Thousand metric tons
FoodProcessing,2013,China (Estimated),26534,Thousand metric tons
FoodProcessing,2013,East & Central Europe,3995,Thousand metric tons
FoodProcessing,2013,GCC,3887,Thousand metric tons
FoodProcessing,2013,North America,4918,Thousand metric tons
FoodProcessing,2013,Oceania,2104,Thousand metric tons
FoodProcessing,2013,South America,1906,Thousand metric tons
FoodProcessing,2013,West Europe,3616,Thousand metric tons
FoodProcessing,2014,Africa,1746,Thousand metric tons
FoodProcessing,2014,Asia (ex China),2429,Thousand metric tons
FoodProcessing,2014,China (Estimated),28317,Thousand metric tons
FoodProcessing,2014,East & Central Europe,3764,Thousand metric tons
FoodProcessing,2014,GCC,4832,Thousand metric tons
FoodProcessing,2014,North America,4585,Thousand metric tons
FoodProcessing,2014,Oceania,2035,Thousand metric tons
FoodProcessing,2014,South America,1543,Thousand metric tons
FoodProcessing,2014,West Europe,3596,Thousand metric tons
FoodProcessing,2015,Africa,1687,Thousand metric tons
FoodProcessing,2015,Asia (ex China),3001,Thousand metric tons
FoodProcessing,2015,China (Estimated),31518,Thousand metric tons
FoodProcessing,2015,East & Central Europe,3829,Thousand metric tons
FoodProcessing,2015,GCC,5104,Thousand metric tons
FoodProcessing,2015,North America,4469,Thousand metric tons
FoodProcessing,2015,Oceania,1978,Thousand metric tons
FoodProcessing,2015,South America,1325,Thousand metric tons
FoodProcessing,2015,West Europe,3745,Thousand metric tons
